time,density
0,0.0194
1,0.0085
2,0.0068
3,0.0062
4,0.0059
5,0.0054
6,0.0056
7,0.0055
8,0.0054
9,0.0055
10,0.0054
11,0.0052
12,0.0051
13,0.0049
14,0.0049
15,0.0049
16,0.0049
17,0.0049
18,0.0049
19,0.0049
20,0.0049
21,0.0049
22,0.0049
23,0.0049
24,0.0049
25,0.0049
26,0.0049
27,0.0049
28,0.0049
29,0.0049
30,0.0049
31,0.0049
32,0.0049
33,0.0049
34,0.0049
35,0.0049
36,0.0049
37,0.0049
38,0.0049
39,0.0049
40,0.0049
41,0.0049
42,0.0049
43,0.0049
44,0.0049
45,0.0049
46,0.0049
47,0.0049
48,0.0049
49,0.0049
50,0.0049
51,0.0049
52,0.0049
53,0.0049
54,0.0049
55,0.0049
56,0.0049
57,0.0049
58,0.0049
59,0.0049
60,0.0049
61,0.0049
62,0.0049
63,0.0049
64,0.0049
65,0.0049
66,0.0049
67,0.0049
68,0.0049
69,0.0049
70,0.0049
71,0.0049
72,0.0049
73,0.0049
74,0.0049
75,0.0049
76,0.0049
77,0.0049
78,0.0049
79,0.0049
80,0.0049
81,0.0049
82,0.0049
83,0.0049
84,0.0049
85,0.0049
86,0.0049
87,0.0049
88,0.0049
89,0.0049
90,0.0049
91,0.0049
92,0.0049
93,0.0049
94,0.0049
95,0.0049
96,0.0049
97,0.0049
98,0.0049
99,0.0049
100,0.0049
101,0.0049
102,0.0049
103,0.0049
104,0.0049
105,0.0049
106,0.0049
107,0.0049
108,0.0049
109,0.0049
110,0.0049
111,0.0049
112,0.0049
113,0.0049
114,0.0049
115,0.0049
116,0.0049
117,0.0049
118,0.0049
119,0.0049
120,0.0049
121,0.0049
122,0.0049
123,0.0049
124,0.0049
125,0.0049
126,0.0049
127,0.0049
128,0.0049
129,0.0049
130,0.0049
131,0.0049
132,0.0049
133,0.0049
134,0.0049
135,0.0049
136,0.0049
137,0.0049
138,0.0049
139,0.0049
140,0.0049
141,0.0049
142,0.0049
143,0.0049
144,0.0049
145,0.0049
146,0.0049
147,0.0049
148,0.0049
149,0.0049
150,0.0049
151,0.0049
152,0.0049
153,0.0049
154,0.0049
155,0.0049
156,0.0049
157,0.0049
158,0.0049
159,0.0049
160,0.0049
161,0.0049
162,0.0049
163,0.0049
164,0.0049
165,0.0049
166,0.0049
167,0.0049
168,0.0049
169,0.0049
170,0.0049
171,0.0049
172,0.0049
173,0.0049
174,0.0049
175,0.0049
176,0.0049
177,0.0049
178,0.0049
179,0.0049
180,0.0049
181,0.0049
182,0.0049
183,0.0049
184,0.0049
185,0.0049
186,0.0049
187,0.0049
188,0.0049
189,0.0049
190,0.0049
191,0.0049
192,0.0049
193,0.0049
194,0.0049
195,0.0049
196,0.0049
197,0.0049
198,0.0049
199,0.0049
200,0.0049
201,0.0049
202,0.0049
203,0.0049
204,0.0049
205,0.0049
206,0.0049
207,0.0049
208,0.0049
209,0.0049
210,0.0049
211,0.0049
212,0.0049
213,0.0049
214,0.0049
215,0.0049
216,0.0049
217,0.0049
218,0.0049
219,0.0049
220,0.0049
221,0.0049
222,0.0049
223,0.0049
224,0.0049
225,0.0049
226,0.0049
227,0.0049
228,0.0049
229,0.0049
230,0.0049
231,0.0049
232,0.0049
233,0.0049
234,0.0049
235,0.0049
236,0.0049
237,0.0049
238,0.0049
239,0.0049
240,0.0049
241,0.0049
242,0.0049
243,0.0049
244,0.0049
245,0.0049
246,0.0049
247,0.0049
248,0.0049
249,0.0049
250,0.0049
251,0.0049
252,0.0049
253,0.0049
254,0.0049
255,0.0049
256,0.0049
257,0.0049
258,0.0049
259,0.0049
260,0.0049
261,0.0049
262,0.0049
263,0.0049
264,0.0049
265,0.0049
266,0.0049
267,0.0049
268,0.0049
269,0.0049
270,0.0049
271,0.0049
272,0.0049
273,0.0049
274,0.0049
275,0.0049
276,0.0049
277,0.0049
278,0.0049
279,0.0049
280,0.0049
281,0.0049
282,0.0049
283,0.0049
284,0.0049
285,0.0049
286,0.0049
287,0.0049
288,0.0049
289,0.0049
290,0.0049
291,0.0049
292,0.0049
293,0.0049
294,0.0049
295,0.0049
296,0.0049
297,0.0049
298,0.0049
299,0.0049
300,0.0049
301,0.0049
302,0.0049
303,0.0049
304,0.0049
305,0.0049
306,0.0049
307,0.0049
308,0.0049
309,0.0049
310,0.0049
311,0.0049
312,0.0049
313,0.0049
314,0.0049
315,0.0049
316,0.0049
317,0.0049
318,0.0049
319,0.0049
320,0.0049
321,0.0049
322,0.0049
323,0.0049
324,0.0049
325,0.0049
326,0.0049
327,0.0049
328,0.0049
329,0.0049
330,0.0049
331,0.0049
332,0.0049
333,0.0049
334,0.0049
335,0.0049
336,0.0049
337,0.0049
338,0.0049
339,0.0049
340,0.0049
341,0.0049
342,0.0049
343,0.0049
344,0.0049
345,0.0049
346,0.0049
347,0.0049
348,0.0049
349,0.0049
350,0.0049
351,0.0049
352,0.0049
353,0.0049
354,0.0049
355,0.0049
356,0.0049
357,0.0049
358,0.0049
359,0.0049
360,0.0049
361,0.0049
362,0.0049
363,0.0049
364,0.0049
365,0.0049
366,0.0049
367,0.0049
368,0.0049
369,0.0049
370,0.0049
371,0.0049
372,0.0049
373,0.0049
374,0.0049
375,0.0049
376,0.0049
377,0.0049
378,0.0049
379,0.0049
380,0.0049
381,0.0049
382,0.0049
383,0.0049
384,0.0049
385,0.0049
386,0.0049
387,0.0049
388,0.0049
389,0.0049
390,0.0049
391,0.0049
392,0.0049
393,0.0049
394,0.0049
395,0.0049
396,0.0049
397,0.0049
398,0.0049
399,0.0049
400,0.0049
401,0.0049
402,0.0049
403,0.0049
404,0.0049
405,0.0049
406,0.0049
407,0.0049
408,0.0049
409,0.0049
410,0.0049
411,0.0049
412,0.0049
413,0.0049
414,0.0049
415,0.0049
416,0.0049
417,0.0049
418,0.0049
419,0.0049
420,0.0049
421,0.0049
422,0.0049
423,0.0049
424,0.0049
425,0.0049
426,0.0049
427,0.0049
428,0.0049
429,0.0049
430,0.0049
431,0.0049
432,0.0049
433,0.0049
434,0.0049
435,0.0049
436,0.0049
437,0.0049
438,0.0049
439,0.0049
440,0.0049
441,0.0049
442,0.0049
443,0.0049
444,0.0049
445,0.0049
446,0.0049
447,0.0049
448,0.0049
449,0.0049
450,0.0049
451,0.0049
452,0.0049
453,0.0049
454,0.0049
455,0.0049
456,0.0049
457,0.0049
458,0.0049
459,0.0049
460,0.0049
461,0.0049
462,0.0049
463,0.0049
464,0.0049
465,0.0049
466,0.0049
467,0.0049
468,0.0049
469,0.0049
470,0.0049
471,0.0049
472,0.0049
473,0.0049
474,0.0049
475,0.0049
476,0.0049
477,0.0049
478,0.0049
479,0.0049
480,0.0049
481,0.0049
482,0.0049
483,0.0049
484,0.0049
485,0.0049
486,0.0049
487,0.0049
488,0.0049
489,0.0049
490,0.0049
491,0.0049
492,0.0049
493,0.0049
494,0.0049
495,0.0049
496,0.0049
497,0.0049
498,0.0049
499,0.0049
500,0.0049
501,0.0049
502,0.0049
503,0.0049
504,0.0049
505,0.0049
506,0.0049
507,0.0049
508,0.0049
509,0.0049
510,0.0049
511,0.0049
512,0.0049
513,0.0049
514,0.0049
515,0.0049
516,0.0049
517,0.0049
518,0.0049
519,0.0049
520,0.0049
521,0.0049
522,0.0049
523,0.0049
524,0.0049
525,0.0049
526,0.0049
527,0.0049
528,0.0049
529,0.0049
530,0.0049
531,0.0049
532,0.0049
533,0.0049
534,0.0049
535,0.0049
536,0.0049
537,0.0049
538,0.0049
539,0.0049
540,0.0049
541,0.0049
542,0.0049
543,0.0049
544,0.0049
545,0.0049
546,0.0049
547,0.0049
548,0.0049
549,0.0049
550,0.0049
551,0.0049
552,0.0049
553,0.0049
554,0.0049
555,0.0049
556,0.0049
557,0.0049
558,0.0049
559,0.0049
560,0.0049
561,0.0049
562,0.0049
563,0.0049
564,0.0049
565,0.0049
566,0.0049
567,0.0049
568,0.0049
569,0.0049
570,0.0049
571,0.0049
572,0.0049
573,0.0049
574,0.0049
575,0.0049
576,0.0049
577,0.0049
578,0.0049
579,0.0049
580,0.0049
581,0.0049
582,0.0049
583,0.0049
584,0.0049
585,0.0049
586,0.0049
587,0.0049
588,0.0049
589,0.0049
590,0.0049
591,0.0049
592,0.0049
593,0.0049
594,0.0049
595,0.0049
596,0.0049
597,0.0049
598,0.0049
599,0.0049
600,0.0049
601,0.0049
602,0.0049
603,0.0049
604,0.0049
605,0.0049
606,0.0049
607,0.0049
608,0.0049
609,0.0049
610,0.0049
611,0.0049
612,0.0049
613,0.0049
614,0.0049
615,0.0049
616,0.0049
617,0.0049
618,0.0049
619,0.0049
620,0.0049
621,0.0049
622,0.0049
623,0.0049
624,0.0049
625,0.0049
626,0.0049
627,0.0049
628,0.0049
629,0.0049
630,0.0049
631,0.0049
632,0.0049
633,0.0049
634,0.0049
635,0.0049
636,0.0049
637,0.0049
638,0.0049
639,0.0049
640,0.0049
641,0.0049
642,0.0049
643,0.0049
644,0.0049
645,0.0049
646,0.0049
647,0.0049
648,0.0049
649,0.0049
650,0.0049
651,0.0049
652,0.0049
653,0.0049
654,0.0049
655,0.0049
656,0.0049
657,0.0049
658,0.0049
659,0.0049
660,0.0049
661,0.0049
662,0.0049
663,0.0049
664,0.0049
665,0.0049
666,0.0049
667,0.0049
668,0.0049
669,0.0049
670,0.0049
671,0.0049
672,0.0049
673,0.0049
674,0.0049
675,0.0049
676,0.0049
677,0.0049
678,0.0049
679,0.0049
680,0.0049
681,0.0049
682,0.0049
683,0.0049
684,0.0049
685,0.0049
686,0.0049
687,0.0049
688,0.0049
689,0.0049
690,0.0049
691,0.0049
692,0.0049
693,0.0049
694,0.0049
695,0.0049
696,0.0049
697,0.0049
698,0.0049
699,0.0049
700,0.0049
701,0.0049
702,0.0049
703,0.0049
704,0.0049
705,0.0049
706,0.0049
707,0.0049
708,0.0049
709,0.0049
710,0.0049
711,0.0049
712,0.0049
713,0.0049
714,0.0049
715,0.0049
716,0.0049
717,0.0049
718,0.0049
719,0.0049
720,0.0049
721,0.0049
722,0.0049
723,0.0049
724,0.0049
725,0.0049
726,0.0049
727,0.0049
728,0.0049
729,0.0049
730,0.0049
731,0.0049
732,0.0049
733,0.0049
734,0.0049
735,0.0049
736,0.0049
737,0.0049
738,0.0049
739,0.0049
740,0.0049
741,0.0049
742,0.0049
743,0.0049
744,0.0049
745,0.0049
746,0.0049
747,0.0049
748,0.0049
749,0.0049
750,0.0049
751,0.0049
752,0.0049
753,0.0
692, 0.0049
693, 0.0049
694, 0.0049
695, 0.0049
696, 0.0049
697, 0.0049
698, 0.0049
699, 0.0049
700, 0.0049
701, 0.0049
702, 0.0049
703, 0.0049
704, 0.0049
705, 0.0049
706, 0.0049
707, 0.0049
708, 0.0049
709, 0.0049
710, 0.0049
711, 0.0049
712, 0.0049
713, 0.0049
714, 0.0049
715, 0.0049
716, 0.0049
717, 0.0049
718, 0.0049
719, 0.0049
720, 0.0049
721, 0.0049
722, 0.0049
723, 0.0049
724, 0.0049
725, 0.0049
726, 0.0049
727, 0.0049
728, 0.0049
729, 0.0049
730, 0.0049
731, 0.0049
732, 0.0049
733, 0.0049
734, 0.0049
735, 0.0049
736, 0.0049
737, 0.0049
738, 0.0049
739, 0.0049
740, 0.0049
741, 0.0049
742, 0.0049
743, 0.0049
744, 0.0049
745, 0.0049
746, 0.0049
747, 0.0049
748, 0.0049
749, 0.0049
750, 0.0049
751, 0.0049
752, 0.0049
753, 0.0049
754, 0.0049
755, 0.0049
756, 0.0049
757, 0.0049
758, 0.0049
759, 0.0049
760, 0.0049
761, 0.0049
762, 0.0049
763, 0.0049
764, 0.0049
765, 0.0049
766, 0.0049
767, 0.0049
768, 0.0049
769, 0.0049
770, 0.0049
771, 0.0049
772, 0.0049
773, 0.0049
774, 0.0049
775, 0.0049
776, 0.0049
777, 0.0049
778, 0.0049
779, 0.0049
780, 0.0049
781, 0.0049
782, 0.0049
783, 0.0049
784, 0.0049
785, 0.0049
786, 0.0049
787, 0.0049
788, 0.0049
789, 0.0049
790, 0.0049
791, 0.0049
792, 0.0049
793, 0.0049
794, 0.0049
795, 0.0049
796, 0.0049
797, 0.0049
798, 0.0049
799, 0.0049
800, 0.0049
801, 0.0049
802, 0.0049
803, 0.0049
804, 0.0049
805, 0.0049
806, 0.0049
807, 0.0049
808, 0.0049
809, 0.0049
810, 0.0049
811, 0.0049
812, 0.0049
813, 0.0049
814, 0.0049
815, 0.0049
816, 0.0049
817, 0.0049
818, 0.0049
819, 0.0049
820, 0.0049
821, 0.0049
822, 0.0049
823, 0.0049
824, 0.0049
825, 0.0049
826, 0.0049
827, 0.0049
828, 0.0049
829, 0.0049
830, 0.0049
831, 0.0049
832, 0.0049
833, 0.0049
834, 0.0049
835, 0.0049
836, 0.0049
837, 0.0049
838, 0.0049
839, 0.0049
840, 0.0049
841, 0.0049
842, 0.0049
843, 0.0049
844, 0.0049
845, 0.0049
846, 0.0049
847, 0.0049
848, 0.0049
849, 0.0049
850, 0.0049
851, 0.0049
852, 0.0049
853, 0.0049
854, 0.0049
855, 0.0049
856, 0.0049
857, 0.0049
858, 0.0049
859, 0.0049
860, 0.0049
861, 0.0049
862, 0.0049
863, 0.0049
864, 0.0049
865, 0.0049
866, 0.0049
867, 0.0049
868, 0.0049
869, 0.0049
870, 0.0049
871, 0.0049
872, 0.0049
873, 0.0049
874, 0.0049
875, 0.0049
876, 0.0049
877, 0.0049
878, 0.0049
879, 0.0049
880, 0.0049
881, 0.0049
882, 0.0049
883, 0.0049
884, 0.0049
885, 0.0049
886, 0.0049
887, 0.0049
888, 0.0049
889, 0.0049
890, 0.0049
891, 0.0049
892, 0.0049
893, 0.0049
894, 0.0049
895, 0.0049
896, 0.0049
897, 0.0049
898, 0.0049
899, 0.0049
900, 0.0049
901, 0.0049
902, 0.0049
903, 0.0049
904, 0.0049
905, 0.0049
906, 0.0049
907, 0.0049
908, 0.0049
909, 0.0049
910, 0.0049
911, 0.0049
912, 0.0049
913, 0.0049
914, 0.0049
915, 0.0049
916, 0.0049
917, 0.0049
918, 0.0049
919, 0.0049
920, 0.0049
921, 0.0049
922, 0.0049
923, 0.0049
924, 0.0049
925, 0.0049
926, 0.0049
927, 0.0049
928, 0.0049
929, 0.0049
930, 0.0049
931, 0.0049
932, 0.0049
933, 0.0049
934, 0.0049
935, 0.0049
936, 0.0049
937, 0.0049
938, 0.0049
939, 0.0049
940, 0.0049
941, 0.0049
942, 0.0049
943, 0.0049
944, 0.0049
945, 0.0049
946, 0.0049
947, 0.0049
948, 0.0049
949, 0.0049
950, 0.0049
951, 0.0049
952, 0.0049
953, 0.0049
954, 0.0049
955, 0.0049
956, 0.0049
957, 0.0049
958, 0.0049
959, 0.0049
960, 0.0049
961, 0.0049
962, 0.0049
963, 0.0049
964, 0.0049
965, 0.0049
966, 0.0049
967, 0.0049
968, 0.0049
969, 0.0049
970, 0.0049
971, 0.0049
972, 0.0049
973, 0.0049
974, 0.0049
975, 0.0049
976, 0.0049
977, 0.0049
978, 0.0049
979, 0.0049
980, 0.0049
981, 0.0049
982, 0.0049
983, 0.0049
984, 0.0049
985, 0.0049
986, 0.0049
987, 0.0049
988, 0.0049
989, 0.0049
990, 0.0049
991, 0.0049
992, 0.0049
993, 0.0049
994, 0.0049
995, 0.0049
996, 0.0049
997, 0.0049
998, 0.0049
999, 0.0049
